Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"New Approaches on Quantification of Campylobacter jejuni in Poultry Samples: The Use of Digital PCR and Real-time PCR against the ISO Standard Plate Count Method.","/pubmed/28303130","Papić B, Pate M, Henigman U, Zajc U, Gruntar I, Biasizzo M, Ocepek M, Kušar D.","Front Microbiol. 2017 Mar 2;8:331. doi: 10.3389/fmicb.2017.00331.","Front Microbiol.  2017","PubMed","citation","PMID:28303130 | PMCID:PMC5332403","pubmed","28303130","create date:2017/03/18 | first author:Papić B",
"Gene expression changes in immune response pathways following oral administration of tetrabromobisphenol A (TBBPA) in female Wistar Han rats.","/pubmed/28300664","Hall SM, Coulter SJ, Knudsen GA, Sanders JM, Birnbaum LS.","Toxicol Lett. 2017 Mar 11. pii: S0378-4274(17)30101-7. doi: 10.1016/j.toxlet.2017.03.008. [Epub ahead of print]","Toxicol Lett.  2017","PubMed","citation","PMID:28300664","pubmed","28300664","create date:2017/03/17 | first author:Hall SM",
"Applications of Digital PCR for Clinical Microbiology.","/pubmed/28298452","Kuypers J, Jerome KR.","J Clin Microbiol. 2017 Mar 15. pii: JCM.00211-17. doi: 10.1128/JCM.00211-17. [Epub ahead of print]","J Clin Microbiol.  2017","PubMed","citation","PMID:28298452","pubmed","28298452","create date:2017/03/17 | first author:Kuypers J",
"Cerebrospinal fluid mtDNA concentration is elevated in multiple sclerosis disease and responds to treatment.","/pubmed/28294696","Leurs CE, Podlesniy P, Trullas R, Balk L, Steenwijk MD, Malekzadeh A, Piehl F, Uitdehaag BM, Killestein J, van Horssen J, Teunissen CE.","Mult Scler. 2017 Mar 1:1352458517699874. doi: 10.1177/1352458517699874. [Epub ahead of print]","Mult Scler.  2017","PubMed","citation","PMID:28294696","pubmed","28294696","create date:2017/03/16 | first author:Leurs CE",
"Validating a fully automated real-time PCR-based system for use in the molecular diagnostic analysis of colorectal carcinoma: a comparison with NGS and IHC.","/pubmed/28292978","Colling R, Wang LM, Soilleux E.","J Clin Pathol. 2017 Mar 14. pii: jclinpath-2017-204356. doi: 10.1136/jclinpath-2017-204356. [Epub ahead of print]","J Clin Pathol.  2017","PubMed","citation","PMID:28292978","pubmed","28292978","create date:2017/03/16 | first author:Colling R",
"Preparation of MS2-based nanoparticles as control and standard materials for the molecular detection of dengue virus serotypes.","/pubmed/28288812","Fu Y, Wang G, Wu Q, Yang X, Zhang R, Zhang K, Lin G, Han Y, Bao L, Li Z, Li J.","Virus Res. 2017 Mar 10;233:42-50. doi: 10.1016/j.virusres.2017.02.011. [Epub ahead of print]","Virus Res.  2017","PubMed","citation","PMID:28288812","pubmed","28288812","create date:2017/03/16 | first author:Fu Y",
"Plasma epidermal growth factor receptor mutation testing with a chip-based digital PCR system in patients with advanced non-small cell lung cancer.","/pubmed/28285688","Kasahara N, Kenmotsu H, Serizawa M, Umehara R, Ono A, Hisamatsu Y, Wakuda K, Omori S, Nakashima K, Taira T, Naito T, Murakami H, Koh Y, Mori K, Endo M, Nakajima T, Yamada M, Kusuhara M, Takahashi T.","Lung Cancer. 2017 Apr;106:138-144. doi: 10.1016/j.lungcan.2017.02.001.","Lung Cancer.  2017","PubMed","citation","PMID:28285688","pubmed","28285688","create date:2017/03/14 | first author:Kasahara N",
"Establishing a reference dataset for the authentication of spinal muscular atrophy cell lines using STR profiling and digital PCR.","/pubmed/28284873","Stabley DL, Holbrook J, Harris AW, Swoboda KJ, Crawford TO, Sol-Church K, Butchbach ME.","Neuromuscul Disord. 2017 Feb 6. pii: S0960-8966(16)31158-0. doi: 10.1016/j.nmd.2017.02.002. [Epub ahead of print]","Neuromuscul Disord.  2017","PubMed","citation","PMID:28284873","pubmed","28284873","create date:2017/03/13 | first author:Stabley DL",
"Detection of ESR1 mutations in plasma and tumors from metastatic breast cancer patients using next-generation sequencing.","/pubmed/28283903","Yanagawa T, Kagara N, Miyake T, Tanei T, Naoi Y, Shimoda M, Shimazu K, Kim SJ, Noguchi S.","Breast Cancer Res Treat. 2017 Mar 10. doi: 10.1007/s10549-017-4190-z. [Epub ahead of print]","Breast Cancer Res Treat.  2017","PubMed","citation","PMID:28283903","pubmed","28283903","create date:2017/03/12 | first author:Yanagawa T",
"A mature macrophage is a principal HIV-1 cellular reservoir in humanized mice after treatment with long acting antiretroviral therapy.","/pubmed/28279181","Araínga M, Edagwa B, Mosley RL, Poluektova LY, Gorantla S, Gendelman HE.","Retrovirology. 2017 Mar 9;14(1):17. doi: 10.1186/s12977-017-0344-7.","Retrovirology.  2017","PubMed","citation","PMID:28279181 | PMCID:PMC5345240","pubmed","28279181","create date:2017/03/11 | first author:Araínga M",
"HIV Reservoir Characterization Symposium: 19 September 2016, Ghent, Belgium.","/pubmed/28275461","Malatinkova E, De Spiegelaere W, Vandekerckhove L, Sips M.","J Virus Erad. 2017 Jan 1;3(1):66-68.","J Virus Erad.  2017","PubMed","citation","PMID:28275461 | PMCID:PMC5337424","pubmed","28275461","create date:2017/03/10 | first author:Malatinkova E",
"A novel duplex ddPCR assay for the diagnosis of schistosomiasis japonica: proof of concept in an experimental mouse model.","/pubmed/28274280","Weerakoon KG, Gordon CA, Cai P, Gobert GN, Duke M, Williams GM, McManus DP.","Parasitology. 2017 Mar 9:1-11. doi: 10.1017/S003118201700021X. [Epub ahead of print]","Parasitology.  2017","PubMed","citation","PMID:28274280","pubmed","28274280","create date:2017/03/10 | first author:Weerakoon KG",
"The Characterization of GSDMB Splicing and Backsplicing Profiles Identifies Novel Isoforms and a Circular RNA That Are Dysregulated in Multiple Sclerosis.","/pubmed/28272342","Cardamone G, Paraboschi EM, Rimoldi V, Duga S, Soldà G, Asselta R.","Int J Mol Sci. 2017 Mar 7;18(3). pii: E576. doi: 10.3390/ijms18030576.","Int J Mol Sci.  2017","PubMed","citation","PMID:28272342","pubmed","28272342","create date:2017/03/09 | first author:Cardamone G",
"SMN Blood Levels in a Porcine Model of Spinal Muscular Atrophy.","/pubmed/28269795","Iyer CC, Wang X, Renusch SR, Duque SI, Wehr AM, Mo XM, McGovern VL, Arnold WD, Burghes AH, Kolb SJ.","J Neuromuscul Dis. 2017;4(1):59-66. doi: 10.3233/JND-170209.","J Neuromuscul Dis.  2017","PubMed","citation","PMID:28269795","pubmed","28269795","create date:2017/03/09 | first author:Iyer CC",
"Savitzky-Golay coupled with digital bandpass filtering as a pre-processing technique in the quantitative analysis of glucose from near infrared spectra.","/pubmed/28269670","Patchava KC, Alrezj O, Benaissa M, Behairy H.","Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;2016:6210-6213. doi: 10.1109/EMBC.2016.7592147.","Conf Proc IEEE Eng Med Biol Soc.  2016","PubMed","citation","PMID:28269670","pubmed","28269670","create date:2017/03/09 | first author:Patchava KC",
"Droplet Digital PCR Is a Reliable Tool for Monitoring Minimal Residual Disease in Acute Promyelocytic Leukemia.","/pubmed/28268092","Brunetti C, Anelli L, Zagaria A, Minervini A, Minervini CF, Casieri P, Coccaro N, Cumbo C, Tota G, Impera L, Orsini P, Specchia G, Albano F.","J Mol Diagn. 2017 Mar 4. pii: S1525-1578(17)30096-X. doi: 10.1016/j.jmoldx.2017.01.004. [Epub ahead of print]","J Mol Diagn.  2017","PubMed","citation","PMID:28268092","pubmed","28268092","create date:2017/03/08 | first author:Brunetti C",
"Rapid detection of donor cell free DNA in lung transplant recipients with rejections using donor-recipient HLA mismatch.","/pubmed/28267558","Zou J, Duffy B, Slade M, Young AL, Steward N, Hachem R, Mohanakumar T.","Hum Immunol. 2017 Mar 4. pii: S0198-8859(17)30039-3. doi: 10.1016/j.humimm.2017.03.002. [Epub ahead of print]","Hum Immunol.  2017","PubMed","citation","PMID:28267558","pubmed","28267558","create date:2017/03/08 | first author:Zou J",
"Segmental duplications and evolutionary acquisition of UV damage response in the SPATA31 gene family of primates and humans.","/pubmed/28264649","Bekpen C, Künzel S, Xie C, Eaaswarkhanth M, Lin YL, Gokcumen O, Akdis CA, Tautz D.","BMC Genomics. 2017 Mar 6;18(1):222. doi: 10.1186/s12864-017-3595-8.","BMC Genomics.  2017","PubMed","citation","PMID:28264649 | PMCID:PMC5338094","pubmed","28264649","create date:2017/03/08 | first author:Bekpen C",
"Clinical and molecular assessment of regorafenib monotherapy.","/pubmed/28259999","Kakizawa N, Suzuki K, Fukui T, Takayama Y, Ichida K, Muto Y, Hasegawa F, Watanabe F, Kikugawa R, Tsujinaka S, Futsuhara K, Miyakura Y, Noda H, Rikiyama T.","Oncol Rep. 2017 Feb 15. doi: 10.3892/or.2017.5456. [Epub ahead of print]","Oncol Rep.  2017","PubMed","citation","PMID:28259999","pubmed","28259999","create date:2017/03/06 | first author:Kakizawa N",
"Using an endoscopic distal cap to collect pancreatic fluid from the ampulla (with video).","/pubmed/28259593","Suenaga M, Sadakari Y, Almario JA, Borges M, Lennon AM, Shin EJ, Canto MI, Goggins M.","Gastrointest Endosc. 2017 Mar 1. pii: S0016-5107(17)30128-1. doi: 10.1016/j.gie.2017.02.026. [Epub ahead of print]","Gastrointest Endosc.  2017","PubMed","citation","PMID:28259593","pubmed","28259593","create date:2017/03/06 | first author:Suenaga M",
"[Genetic analysis of a pedigree with primary hypertrophic osteoarthropathy].","/pubmed/28253600","Liu XG, Li JY, Bai Y, Zhang LX, Wu X, Ma YY, Chai LJ, Zheng LL.","Zhonghua Nei Ke Za Zhi. 2017 Mar 1;56(3):194-198. doi: 10.3760/cma.j.issn.0578-1426.2017.03.009. Chinese. ","Zhonghua Nei Ke Za Zhi.  2017","PubMed","citation","PMID:28253600","pubmed","28253600","create date:2017/03/04 | first author:Liu XG",
"[Application study of droplet digital PCR to detect maternal cell contamination in prenatal diagnosis].","/pubmed/28253571","Geng J, Liu C, Zhou XC, Ma J, Du L, Lu J, Zhou WN, Hu TT, Lyu LJ, Yin AH.","Zhonghua Fu Chan Ke Za Zhi. 2017 Feb 25;52(2):93-97. doi: 10.3760/cma.j.issn.0529-567X.2017.02.005. Chinese. ","Zhonghua Fu Chan Ke Za Zhi.  2017","PubMed","citation","PMID:28253571","pubmed","28253571","create date:2017/03/04 | first author:Geng J",
"Transcriptome analysis and identification of induced genes in the response of Harmonia axyridis to cold hardiness.","/pubmed/28237864","Tang B, Liu XJ, Shi ZK, Shen QD, Xu YX, Wang S, Zhang F, Wang SG.","Comp Biochem Physiol Part D Genomics Proteomics. 2017 Feb 20;22:78-89. doi: 10.1016/j.cbd.2017.01.004. [Epub ahead of print]","Comp Biochem Physiol Part D Genomics Proteomics.  2017","PubMed","citation","PMID:28237864","pubmed","28237864","create date:2017/02/27 | first author:Tang B",
"One thousand somatic SNVs per skin fibroblast cell set baseline of mosaic mutational load with patterns that suggest proliferative origin.","/pubmed/28235832","Abyzov A, Tomasini L, Zhou B, Vasmatzis N, Coppola G, Amenduni M, Pattni R, Wilson M, Gerstein M, Weissman S, Urban AE, Vaccarino FM.","Genome Res. 2017 Feb 24. doi: 10.1101/gr.215517.116. [Epub ahead of print]","Genome Res.  2017","PubMed","citation","PMID:28235832","pubmed","28235832","create date:2017/02/27 | first author:Abyzov A",
"Accurate measurement of transgene copy number in crop plants using droplet digital PCR.","/pubmed/28231382","Collier R, Dasgupta K, Xing YP, Hernandez BT, Shao M, Rohozinski D, Kovak E, Lin J, de Oliveira ML, Stover E, McCue KF, Harmon FG, Blechl A, Thomson JG, Thilmony R.","Plant J. 2017 Feb 23. doi: 10.1111/tpj.13517. [Epub ahead of print]","Plant J.  2017","PubMed","citation","PMID:28231382","pubmed","28231382","create date:2017/02/24 | first author:Collier R",
"Relationship between salivary/pancreatic amylase and body mass index: a systems biology approach.","/pubmed/28228143","Bonnefond A, Yengo L, Dechaume A, Canouil M, Castelain M, Roger E, Allegaert F, Caiazzo R, Raverdy V, Pigeyre M, Arredouani A, Borys JM, Lévy-Marchal C, Weill J, Roussel R, Balkau B, Marre M, Pattou F, Brousseau T, Froguel P.","BMC Med. 2017 Feb 23;15(1):37. doi: 10.1186/s12916-017-0784-x.","BMC Med.  2017","PubMed","citation","PMID:28228143 | PMCID:PMC5322607","pubmed","28228143","create date:2017/02/24 | first author:Bonnefond A",
"Metacoder: An R package for visualization and manipulation of community taxonomic diversity data.","/pubmed/28222096","Foster ZS, Sharpton TJ, Grünwald NJ.","PLoS Comput Biol. 2017 Feb 21;13(2):e1005404. doi: 10.1371/journal.pcbi.1005404.","PLoS Comput Biol.  2017","PubMed","citation","PMID:28222096","pubmed","28222096","create date:2017/02/22 | first author:Foster ZS",
"Metabolic labeling and recovery of nascent RNA to accurately quantify mRNA stability.","/pubmed/28219744","Russo J, Heck AM, Wilusz J, Wilusz CJ.","Methods. 2017 Feb 20. pii: S1046-2023(16)30364-4. doi: 10.1016/j.ymeth.2017.02.003. [Epub ahead of print]","Methods.  2017","PubMed","citation","PMID:28219744","pubmed","28219744","create date:2017/02/22 | first author:Russo J",
"Differentially expressed haptoglobin as a potential biomarker for type 2 diabetic mellitus in Hispanic population.","/pubmed/28218436","Liu Z, Feng D, Gu D, Zheng R, Esperat C, Gao W.","Biofactors. 2017 Feb 20. doi: 10.1002/biof.1352. [Epub ahead of print]","Biofactors.  2017","PubMed","citation","PMID:28218436","pubmed","28218436","create date:2017/02/22 | first author:Liu Z",
"Differentially expressed genes in the silk gland of silkworm (Bombyx mori) treated with TiO(2) NPs.","/pubmed/28216040","Xue B, Li F, Hu J, Tian J, Li J, Cheng X, Hu J, Li B.","Gene. 2017 May 5;611:21-26. doi: 10.1016/j.gene.2017.02.022. Epub 2017 Feb 17.","Gene.  2017","PubMed","citation","PMID:28216040","pubmed","28216040","create date:2017/02/22 | first author:Xue B",
"Detection and quantification of soil-transmitted helminths in environmental samples: A review of current state-of-the-art and future perspectives.","/pubmed/28214519","Amoah ID, Singh G, Stenström TA, Reddy P.","Acta Trop. 2017 May;169:187-201. doi: 10.1016/j.actatropica.2017.02.014. Review.","Acta Trop.  2017","PubMed","citation","PMID:28214519","pubmed","28214519","create date:2017/02/20 | first author:Amoah ID",
"Simultaneous estimation of detection sensitivity and absolute copy number from digital PCR serial dilution.","/pubmed/28213308","Deng X, Custer BS, Busch MP, Bakkour S, Lee TH.","Comput Biol Chem. 2017 Feb 1;68:1-5. doi: 10.1016/j.compbiolchem.2017.01.015. [Epub ahead of print]","Comput Biol Chem.  2017","PubMed","citation","PMID:28213308","pubmed","28213308","create date:2017/02/19 | first author:Deng X",
"Droplet-Based Digital PCR: Application in Cancer Research.","/pubmed/28212714","Perkins G, Lu H, Garlan F, Taly V.","Adv Clin Chem. 2017;79:43-91. doi: 10.1016/bs.acc.2016.10.001.","Adv Clin Chem.  2017","PubMed","citation","PMID:28212714","pubmed","28212714","create date:2017/02/19 | first author:Perkins G",
"Correlation of micro vessel density and c-Myc expression in breast tumor of mice following mesenchymal stem cell therapy.","/pubmed/28209368","Adelipour M, Babaei F, Mirzababaei M, Allameh A.","Tissue Cell. 2017 Jan 30. pii: S0040-8166(16)30255-5. doi: 10.1016/j.tice.2017.01.007. [Epub ahead of print]","Tissue Cell.  2017","PubMed","citation","PMID:28209368","pubmed","28209368","create date:2017/02/18 | first author:Adelipour M",
"Analysis of ctDNA to predict prognosis and monitor treatment responses in metastatic pancreatic cancer patients.","/pubmed/28205231","Cheng H, Liu C, Jiang J, Luo G, Lu Y, Jin K, Guo M, Zhang Z, Xu J, Liu L, Ni Q, Yu X.","Int J Cancer. 2017 May 15;140(10):2344-2350. doi: 10.1002/ijc.30650. Epub 2017 Mar 9.","Int J Cancer.  2017","PubMed","citation","PMID:28205231","pubmed","28205231","create date:2017/02/17 | first author:Cheng H",
"[Comparative study of proliferative and periodontal differentiation propensity of induced pluripotent stem cells at different passages].","/pubmed/28202998","Li JW, Yin XH, Luan QX.","Beijing Da Xue Xue Bao. 2017 Feb 18;49(1):16-24. Chinese. ","Beijing Da Xue Xue Bao.  2017","PubMed","citation","PMID:28202998","pubmed","28202998","create date:2017/02/17 | first author:Li JW",
"Prevalence and Molecular Characterization of the Hepatitis E Virus in Retail Pork Products Marketed in Canada.","/pubmed/28197972","Mykytczuk O, Harlow J, Bidawid S, Corneau N, Nasheri N.","Food Environ Virol. 2017 Feb 14. doi: 10.1007/s12560-017-9281-9. [Epub ahead of print]","Food Environ Virol.  2017","PubMed","citation","PMID:28197972","pubmed","28197972","create date:2017/02/16 | first author:Mykytczuk O",
"XPO1 in B cell hematological malignancies: from recurrent somatic mutations to targeted therapy.","/pubmed/28196522","Camus V, Miloudi H, Taly A, Sola B, Jardin F.","J Hematol Oncol. 2017 Feb 14;10(1):47. doi: 10.1186/s13045-017-0412-4. Review.","J Hematol Oncol.  2017","PubMed","citation","PMID:28196522 | PMCID:PMC5307790","pubmed","28196522","create date:2017/02/16 | first author:Camus V",
"Comparison of immunohistochemistry with PCR for assessment of ER, PR, and Ki-67 and prediction of pathological complete response in breast cancer.","/pubmed/28193205","Sinn HP, Schneeweiss A, Keller M, Schlombs K, Laible M, Seitz J, Lakis S, Veltrup E, Altevogt P, Eidt S, Wirtz RM, Marmé F.","BMC Cancer. 2017 Feb 13;17(1):124. doi: 10.1186/s12885-017-3111-1.","BMC Cancer.  2017","PubMed","citation","PMID:28193205 | PMCID:PMC5307758","pubmed","28193205","create date:2017/02/15 | first author:Sinn HP",
"TaqMan probes as blocking agents for enriched PCR amplification and DNA melting analysis of mutant genes.","/pubmed/28193149","Botezatu IV, Panchuk IO, Stroganova AM, Senderovich AI, Kondratova VN, Shelepov VP, Lichtenstein AV.","Biotechniques. 2017 Feb 1;62(2):62-68. doi: 10.2144/000114515.","Biotechniques.  2017","PubMed","citation","PMID:28193149","pubmed","28193149","create date:2017/02/15 | first author:Botezatu IV",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Mutational profiling of acral melanomas in Korean populations.","/pubmed/28191690","Shim JH, Shin HT, Park J, Park JH, Lee JH, Yang JM, Kim DH, Jang KT, Lee DY.","Exp Dermatol. 2017 Feb 13. doi: 10.1111/exd.13321. [Epub ahead of print]","Exp Dermatol.  2017","PubMed","citation","PMID:28191690","pubmed","28191690","create date:2017/02/14 | first author:Shim JH",
"Single cell digital polymerase chain reaction on self-priming compartmentalization chip.","/pubmed/28191267","Zhu Q, Qiu L, Xu Y, Li G, Mu Y.","Biomicrofluidics. 2017 Jan 31;11(1):014109. doi: 10.1063/1.4975192.","Biomicrofluidics.  2017","PubMed","citation","PMID:28191267 | PMCID:PMC5291791","pubmed","28191267","create date:2017/02/14 | first author:Zhu Q",
"Somatic MAP2K1 Mutations Are Associated with Extracranial Arteriovenous Malformation.","/pubmed/28190454","Couto JA, Huang AY, Konczyk DJ, Goss JA, Fishman SJ, Mulliken JB, Warman ML, Greene AK.","Am J Hum Genet. 2017 Mar 2;100(3):546-554. doi: 10.1016/j.ajhg.2017.01.018.","Am J Hum Genet.  2017","PubMed","citation","PMID:28190454 | PMCID:PMC5339083","pubmed","28190454","create date:2017/02/14 | first author:Couto JA",
"Comparative glandular trichome transcriptome based gene characterization reveals reasons for differential (-)-menthol biosynthesis in Mentha species.","/pubmed/28188954","Akhtar MQ, Qamar N, Yadav P, Kulkarni P, Kumar A, Shasany AK.","Physiol Plant. 2017 Feb 11. doi: 10.1111/ppl.12550. [Epub ahead of print]","Physiol Plant.  2017","PubMed","citation","PMID:28188954","pubmed","28188954","create date:2017/02/12 | first author:Akhtar MQ",
"Identification of TMEM208 and PQLC2 as reference genes for normalizing mRNA expression in colorectal cancer treated with aspirin.","/pubmed/28184026","Zhu Y, Yang C, Weng M, Zhang Y, Yang C, Jin Y, Yang W, He Y, Wu Y, Zhang Y, Wang G, Redpath RJ, Zhang L, Jin X, Liu Y, Sun Y, Ning N, Qiao Y, Zhang F, Li Z, Wang T, Zhang Y, et al.","Oncotarget. 2017 Feb 8. doi: 10.18632/oncotarget.15191. [Epub ahead of print]","Oncotarget.  2017","PubMed","citation","PMID:28184026","pubmed","28184026","create date:2017/02/12 | first author:Zhu Y",
"Correlation between PIK3CA mutations in cell-free DNA and everolimus efficacy in HR(+), HER2(-) advanced breast cancer: results from BOLERO-2.","/pubmed/28183140","Moynahan ME, Chen D, He W, Sung P, Samoila A, You D, Bhatt T, Patel P, Ringeisen F, Hortobagyi GN, Baselga J, Chandarlapaty S.","Br J Cancer. 2017 Mar 14;116(6):726-730. doi: 10.1038/bjc.2017.25.","Br J Cancer.  2017","PubMed","citation","PMID:28183140","pubmed","28183140","create date:2017/02/10 | first author:Moynahan ME",
"Monitoring of somatic mutations in circulating cell-free DNA by digital PCR and next-generation sequencing during afatinib treatment in patients with lung adenocarcinoma positive for EGFR activating mutations.","/pubmed/28177428","Iwama E, Sakai K, Azuma K, Harada T, Harada D, Nosaki K, Hotta K, Ohyanagi F, Kurata T, Fukuhara T, Akamatsu H, Goto K, Shimose T, Kishimoto J, Nakanishi Y, Nishio K, Okamoto I.","Ann Oncol. 2017 Jan 1;28(1):136-141. doi: 10.1093/annonc/mdw531. No abstract available. ","Ann Oncol.  2017","PubMed","citation","PMID:28177428","pubmed","28177428","create date:2017/02/09 | first author:Iwama E",
"Massively parallel digital high resolution melt for rapid and absolutely quantitative sequence profiling.","/pubmed/28176860","Velez DO, Mack H, Jupe J, Hawker S, Kulkarni N, Hedayatnia B, Zhang Y, Lawrence S, Fraley SI.","Sci Rep. 2017 Feb 8;7:42326. doi: 10.1038/srep42326.","Sci Rep.  2017","PubMed","citation","PMID:28176860 | PMCID:PMC5296755","pubmed","28176860","create date:2017/02/09 | first author:Velez DO",
"Adiponectin promotes human jaw bone marrow mesenchymal stem cell chemotaxis via CXCL1 and CXCL8.","/pubmed/28176455","Pu Y, Wang M, Hong Y, Wu Y, Tang Z.","J Cell Mol Med. 2017 Feb 8. doi: 10.1111/jcmm.13070. [Epub ahead of print]","J Cell Mol Med.  2017","PubMed","citation","PMID:28176455","pubmed","28176455","create date:2017/02/09 | first author:Pu Y",
"Evaluation of Molecular Methods for the Detection and Quantification of Pathogen-Derived Nucleic Acids in Sediment.","/pubmed/28174565","Farkas K, Hassard F, McDonald JE, Malham SK, Jones DL.","Front Microbiol. 2017 Jan 24;8:53. doi: 10.3389/fmicb.2017.00053.","Front Microbiol.  2017","PubMed","citation","PMID:28174565 | PMCID:PMC5258707","pubmed","28174565","create date:2017/02/09 | first author:Farkas K",
"[Epidermal growth factor receptor (EGFR) mutation status before and after acquired resistance to EGFR tyrosine kinase inhibitors in patients with lung adenocarcinoma].","/pubmed/28173668","Ye SB, Li R, Shi SS.","Zhonghua Bing Li Xue Za Zhi. 2017 Feb 8;46(2):98-101. doi: 10.3760/cma.j.issn.0529-5807.2017.02.007. Chinese. ","Zhonghua Bing Li Xue Za Zhi.  2017","PubMed","citation","PMID:28173668","pubmed","28173668","create date:2017/02/09 | first author:Ye SB",
"[Hot topics of circulating tumor DNA testing in breast cancer].","/pubmed/28162206","Liu YH, Zhou B, Xu L, Xin L.","Zhonghua Wai Ke Za Zhi. 2017 Feb 1;55(2):95-98. doi: 10.3760/cma.j.issn.0529-5815.2017.02.004. Chinese. ","Zhonghua Wai Ke Za Zhi.  2017","PubMed","citation","PMID:28162206","pubmed","28162206","create date:2017/02/07 | first author:Liu YH",
